Chamber,Sample,Sample,Sample,Sample,EvaGreen,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Delta Ct Sample,Delta Ct Sample,Delta Ct Sample,Delta Ct Reagent,Delta Ct Reagent,Delta Ct Reagent,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Delta Delta Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Reference,Name,Type,Reference,Value,Quality,Call,Threshold,Value,Quality,Call,Value,Quality,Call,Value,Fold Change,Quality,Call,In Range,Out Range,Peak Ratio,Comments
S01-A01,Ref 397-398-399,Reference,1,,Rplp0,Reference,,10.50201779,1,Pass,0.023030415,-0.484473411,1,Pass,-0.484473411,1,Pass,-0.484473411,1.399075104,1,Pass,89.54772737,999,1,
S01-A02,Ref 397-398-399,Reference,1,,Cd84,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A03,Ref 397-398-399,Reference,1,,Mog,Test,Rplp0,22.84376661,1,Pass,0.023030415,0.203604078,1,Pass,11.85727541,1,Pass,0.203604078,0.868378506,1,Pass,84.34220353,999,1,
S01-A04,Ref 397-398-399,Reference,1,,Steap4,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A05,Ref 397-398-399,Reference,1,,Cxcl10,Test,Aldh1l1,16.84642692,1,Pass,0.023030415,-0.10903563,1,Pass,1.525550822,1,Pass,-0.10903563,1.078507067,1,Pass,82.18143042,999,1,
S01-A06,Ref 397-398-399,Reference,1,,Serpina3n,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A07,Ref 397-398-399,Reference,1,,Clcf1,Test,Aldh1l1,21.80646507,1,Pass,0.023030415,-0.048516075,1,Pass,6.485588973,1,Pass,-0.048516075,1.03420062,1,Pass,87.37756195,999,1,
S01-A08,Ref 397-398-399,Reference,1,,Sphk1,Test,Aldh1l1,20.68947043,1,Pass,0.023030415,-0.037234638,1,Pass,5.36859433,1,Pass,-0.037234638,1.026145023,1,Pass,85.14444405,999,1,
S01-A09,Ref 397-398-399,Reference,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A10,Ref 397-398-399,Reference,1,,H2-T23,Test,Aldh1l1,15.88574461,1,Pass,0.023030415,0.089859325,1,Pass,0.564868513,1,Pass,0.089859325,0.939614365,1,Pass,83.2844864,999,1,
S01-A11,Ref 397-398-399,Reference,1,,Iigp1,Test,Aldh1l1,21.04330422,1,Pass,0.023030415,0.292257285,1,Pass,5.72242812,1,Pass,0.292257285,0.816623345,1,Pass,83.81700685,999,1,
S01-A12,Ref 397-398-399,Reference,1,,Fkbp5,Test,Aldh1l1,15.34394402,1,Pass,0.023030415,0.433475337,1,Pass,0.023067921,1,Pass,0.433475337,0.740475888,1,Pass,82.35393777,999,1,
S01-A13,Ref 397-398-399,Reference,1,,Gfap,Test,Aldh1l1,13.65010388,1,Pass,0.023030415,0.19365199,1,Pass,-1.670772223,1,Pass,0.19365199,0.874389517,1,Pass,88.73182817,999,1,
S01-A14,Ref 397-398-399,Reference,1,,Ptprc (Cd45),Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A15,Ref 397-398-399,Reference,1,,Sox10,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A16,Ref 397-398-399,Reference,1,,Steap4,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A17,Ref 397-398-399,Reference,1,,Cxcl10,Test,Aldh1l1,16.72200789,1,Pass,0.023030415,-0.233454661,1,Pass,1.401131791,1,Pass,-0.233454661,1.175646771,1,Pass,82.02810555,999,1,
S01-A18,Ref 397-398-399,Reference,1,,Serpina3n,Test,Aldh1l1,22.51447326,1,Pass,0.023030415,-0.88499699,1,Pass,7.193597159,1,Pass,-0.88499699,1.846760769,1,Pass,84.98477841,999,1,
S01-A19,Ref 397-398-399,Reference,1,,Clcf1,Test,Aldh1l1,22.13909319,1,Pass,0.023030415,0.28411204,1,Pass,6.818217087,1,Pass,0.28411204,0.82124692,1,Pass,87.3926672,999,1,
S01-A20,Ref 397-398-399,Reference,1,,Sphk1,Test,Aldh1l1,21.45243696,1,Pass,0.023030415,0.725731889,1,Pass,6.131560857,1,Pass,0.725731889,0.604690203,1,Pass,84.82194335,999,1,
S01-A21,Ref 397-398-399,Reference,1,,Slc10a6,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A22,Ref 397-398-399,Reference,1,,H2-T23,Test,Aldh1l1,15.74343777,1,Pass,0.023030415,-0.052447521,1,Pass,0.422561668,1,Pass,-0.052447521,1.037022733,1,Pass,83.18748782,999,1,
S01-A23,Ref 397-398-399,Reference,1,,Iigp1,Test,Aldh1l1,20.18326304,1,Pass,0.023030415,-0.567783896,1,Pass,4.862386939,1,Pass,-0.567783896,1.482244965,1,Pass,83.75112107,999,1,
S01-A24,Ref 397-398-399,Reference,1,,Fkbp5,Test,Aldh1l1,15.02392518,1,Pass,0.023030415,0.113456496,1,Pass,-0.29695092,1,Pass,0.113456496,0.924370743,1,Pass,82.31918929,999,1,
S01-A25,Ref 397-398-399,Reference,1,,Vim,Test,Aldh1l1,10.04256567,1,Pass,0.023030415,0.063005328,1,Pass,-5.278310434,1,Pass,0.063005328,0.957267923,1,Pass,87.61275402,999,1,
S01-A26,Ref 397-398-399,Reference,1,,Aif1 (Iba1),Test,Rplp0,21.27745446,1,Pass,0.023030415,0.060204576,1,Pass,10.29096325,1,Pass,0.060204576,0.959128104,1,Pass,84.06337757,999,1,
S01-A27,Ref 397-398-399,Reference,1,,Mbp,Test,Rplp0,22.39544849,1,Pass,0.023030415,0.197685308,1,Pass,11.40895728,1,Pass,0.197685308,0.871948415,1,Pass,84.87828703,999,1,
S01-A28,Ref 397-398-399,Reference,1,,S1pr3,Test,Aldh1l1,16.30922678,1,Pass,0.023030415,0.429679641,1,Pass,0.988350678,1,Pass,0.429679641,0.742426627,1,Pass,86.91954801,999,1,
S01-A29,Ref 397-398-399,Reference,1,,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A30,Ref 397-398-399,Reference,1,,Aspg,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A31,Ref 397-398-399,Reference,1,,Tgm1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A32,Ref 397-398-399,Reference,1,,Cd109,Test,Aldh1l1,19.8455985,1,Pass,0.023030415,0.952374066,1,Pass,4.524722398,1,Pass,0.952374066,0.516781358,1,Pass,79.74425156,999,1,
S01-A33,Ref 397-398-399,Reference,1,,Tm4sf1,Test,Aldh1l1,18.75208895,1,Pass,0.023030415,-0.22014907,1,Pass,3.43121285,1,Pass,-0.22014907,1.164853942,1,Pass,84.43047181,999,1,
S01-A34,Ref 397-398-399,Reference,1,,Serping1,Test,Aldh1l1,18.0604346,1,Pass,0.023030415,-1.036326057,1,Pass,2.739558504,1,Pass,-1.036326057,2.05099796,1,Pass,87.19667671,999,1,
S01-A35,Ref 397-398-399,Reference,1,,Gbp2,Test,Aldh1l1,16.70892169,1,Pass,0.023030415,0.126085041,1,Pass,1.388045594,1,Pass,0.126085041,0.91631463,1,Pass,83.27133652,999,1,
S01-A36,Ref 397-398-399,Reference,1,,Psmb8,Test,Aldh1l1,18.36669219,1,Pass,0.023030415,0.521526906,1,Pass,3.045816089,1,Pass,0.521526906,0.696634146,1,Pass,86.40966025,999,1,
S01-A37,Ref 397-398-399,Reference,1,,Nes,Test,Aldh1l1,14.15681969,1,Pass,0.023030415,0.044475317,1,Pass,-1.164056412,1,Pass,0.044475317,0.969642395,1,Pass,86.37902511,999,1,
S01-A38,Ref 397-398-399,Reference,1,,Tmem119,Test,Rplp0,23.48370711,1,Pass,0.023030415,2.81277566,1,Pass,12.4972159,1,Pass,2.81277566,0.142321383,1,Pass,84.7879313,999,1,
S01-A39,Ref 397-398-399,Reference,1,,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A40,Ref 397-398-399,Reference,1,,S1pr3,Test,Aldh1l1,16.26840232,1,Pass,0.023030415,0.388855179,1,Pass,0.947526216,1,Pass,0.388855179,0.763735411,1,Pass,86.96945102,999,1,
S01-A41,Ref 397-398-399,Reference,1,,Cd44,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A42,Ref 397-398-399,Reference,1,,Aspg,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A43,Ref 397-398-399,Reference,1,,Tgm1,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A44,Ref 397-398-399,Reference,1,,Cd109,Test,Aldh1l1,19.68678324,1,Pass,0.023030415,0.793558809,1,Pass,4.365907141,1,Pass,0.793558809,0.576919203,1,Pass,79.60319075,999,1,
S01-A45,Ref 397-398-399,Reference,1,,Tm4sf1,Test,Aldh1l1,18.83094786,1,Pass,0.023030415,-0.141290164,1,Pass,3.510071757,1,Pass,-0.141290164,1.102890961,1,Pass,84.58957483,999,1,
S01-A46,Ref 397-398-399,Reference,1,,Serping1,Test,Aldh1l1,18.38675608,1,Pass,0.023030415,-0.710004578,1,Pass,3.065879983,1,Pass,-0.710004578,1.635809308,1,Pass,87.14840036,999,1,
S01-A47,Ref 397-398-399,Reference,1,,Gbp2,Test,Aldh1l1,16.78171283,1,Pass,0.023030415,0.198876172,1,Pass,1.460836725,1,Pass,0.198876172,0.871228967,1,Pass,83.26423786,999,1,
S01-A48,Ref 397-398-399,Reference,1,,Psmb8,Test,Aldh1l1,18.61847496,1,Pass,0.023030415,0.773309679,1,Pass,3.297598863,1,Pass,0.773309679,0.585073719,1,Pass,86.36144271,999,1,
S01-A49,Ref 397-398-399,Reference,1,,Aldh1l1,Reference,,15.38582152,1,Pass,0.023030415,0.064945425,1,Pass,0.064945425,1,Pass,0.064945425,0.955981481,1,Pass,86.80976517,999,1,
S01-A50,Ref 397-398-399,Reference,1,,Nefl,Test,Rplp0,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A51,Ref 397-398-399,Reference,1,,,NRC,,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A52,Ref 397-398-399,Reference,1,,Timp1,Test,Aldh1l1,14.1458142,1,Pass,0.023030415,-0.052603161,1,Pass,-1.175061902,1,Pass,-0.052603161,1.037134615,1,Pass,83.02132349,999,1,
S01-A53,Ref 397-398-399,Reference,1,,Osmr,Test,Aldh1l1,16.41713007,1,Pass,0.023030415,-0.219375903,1,Pass,1.096253965,1,Pass,-0.219375903,1.164229842,1,Pass,81.72694678,999,1,
S01-A54,Ref 397-398-399,Reference,1,,Vim,Test,Aldh1l1,10.02615699,1,Pass,0.023030415,0.046596652,1,Pass,-5.29471911,1,Pass,0.046596652,0.968217683,1,Pass,87.60746971,999,1,
S01-A55,Ref 397-398-399,Reference,1,,Ptx3,Test,Aldh1l1,18.72849516,1,Pass,0.023030415,-0.082086931,1,Pass,3.407619065,1,Pass,-0.082086931,1.058548177,1,Pass,82.2133408,999,1,
S01-A56,Ref 397-398-399,Reference,1,,Ptgs2,Test,Aldh1l1,19.53902665,1,Pass,0.023030415,1.02237472,1,Pass,4.218150545,1,Pass,1.02237472,0.492305335,1,Pass,82.12766349,999,1,
S01-A57,Ref 397-398-399,Reference,1,,B3gnt5,Test,Aldh1l1,18.64712446,1,Pass,0.023030415,0.151715263,1,Pass,3.326248359,1,Pass,0.151715263,0.900179576,1,Pass,82.9468266,999,1,
S01-A58,Ref 397-398-399,Reference,1,,H2-D1,Test,Aldh1l1,14.8128823,1,Pass,0.023030415,-0.117569819,1,Pass,-0.507993802,1,Pass,-0.117569819,1.084905827,1,Pass,85.9745822,999,1,
S01-A59,Ref 397-398-399,Reference,1,,Fbln5,Test,Aldh1l1,999,0,Fail,0.023030415,999,0,Fail,999,0,Fail,999,-1,0,Fail,999,999,0,
S01-A60,Ref 397-398-399,Reference,1,,Srgn,Test,Aldh1l1,18.73885232,1,Pass,0.023030415,-1.750425226,1,Pass,3.41797622,1,Pass,-1.750425226,3.364577204,1,Pass,84.6849042,999,1,
