Sample,NRC,NRC,NRC,Rplp0,Cd84,Ptprc (Cd45),Aif1 (Iba1),Tmem119,Nefl,Syt1,Gabra1,Snap25,Mog,Sox10,Mbp,Aldh1l1,Glt1,Aqp4,Cx30,Nes,Vim,Vim,Vim,Gfap,Gfap,Gfap,Lcn2,Lcn2,Steap4,Steap4,S1pr3,S1pr3,Timp1,Timp1,Hspb1,Hspb1,Cxcl10,Cxcl10,Protein Br,Protein Br,Cp,Cp,Serpina3n,Serpina3n,Aspg,Aspg,Cd44,Cd44,H2-T23,H2-T23,Serping1,Serping1,H2-D1,H2-D1,Iigp1,Iigp1,Gbp2,Gbp2,Fkbp5,Fkbp5,Psmb8,Psmb8,Srgn,Srgn,Amigo2,Amigo2,Ggta1,Ggta1,Fbln5,Fbln5,Ugt1a,Ugt1a,Clcf1,Clcf1,Ptx3,Ptx3,S100a10,S100a10,Sphk1,Sphk1,Cd109,Cd109,Ptgs2,Ptgs2,Emp1,Emp1,Slc10a6,Slc10a6,Tm4sf1,Tm4sf1,B3gnt5,B3gnt5,Cd14,Cd14,Tgm1,Tgm1
NT #1,,,,1.399075104,,,0.959128104,0.142321383,,,,0.971266121,0.868378506,,0.871948415,0.955981481,1.118231645,0.967208189,1.40778514,0.969642395,0.957267923,0.968217683,0.983751186,0.874389517,0.983594919,1.064765537,0.888348586,0.915841142,,,0.742426627,0.763735411,1.037134615,0.909098612,1.524001504,1.580762005,1.078507067,1.175646771,1.164229842,0.988589962,0.955573796,0.9513858,,1.846760769,,,,,0.939614365,1.037022733,2.05099796,1.635809308,1.084905827,1.070324515,0.816623345,1.482244965,0.91631463,0.871228967,0.740475888,0.924370743,0.696634146,0.585073719,3.364577204,3.157656188,0.957847017,1.472349563,,,,,,,1.03420062,0.82124692,1.058548177,0.972414482,1.104674441,1.001920723,1.026145023,0.604690203,0.516781358,0.576919203,0.492305335,0.701041982,1.237040512,1.212852805,,,1.164853942,1.102890961,0.900179576,0.803288987,1.64352115,1.532880532,,
NT #1,,,,0.886992869,,,1.270139038,0.723857149,,,,1.266763431,1.151571571,,0.644378711,0.980895604,1.118094462,0.863574541,1.08433955,0.895179129,0.868313834,0.870022885,0.892828263,0.938418144,0.963986857,0.946796743,0.832785554,0.759548073,,,0.723103109,0.708736075,0.944752096,0.939496337,1.401940644,1.549997103,1.066824876,0.953139837,1.028852876,1.032903457,0.872686127,0.917670593,0.704065663,1.624466601,,,,,0.884046948,1.02097736,1.823792689,1.480330419,0.977140238,0.943734678,2.2032253,2.326704969,0.872454592,0.871886378,0.837224374,0.902491147,0.638626126,0.351203453,2.211203759,1.821982945,0.962096014,0.345196236,,,,,,,0.755924068,1.032471435,0.940847736,0.833049554,0.95420729,1.020069324,0.506282194,0.739344111,0.405539917,0.487508006,0.538216028,0.497856907,1.137328044,1.196698306,,,1.121076979,0.986377123,0.927043094,1.047360943,1.331715509,1.113535712,,
NT #1,,,,0.829468751,,,1.321100477,0.48124594,,,,0.975204552,,,2.027702952,0.960592224,1.069212346,0.841545387,1.660051318,0.838604577,0.816514608,0.897402581,0.848472585,0.85449897,0.893507339,0.969672011,0.850860301,0.921435757,,,0.713168328,0.711512945,0.897044612,0.885973916,1.538803855,1.057524715,1.091116139,1.180916966,1.007377163,0.978402119,0.85724621,0.844133082,4.673944965,0.49818072,,,,,0.992415132,0.95254254,1.348889385,1.344693638,0.868032811,0.890191087,0.981261182,1.480568567,0.756068433,0.779528233,0.823101693,0.777918173,0.62431013,0.727066312,2.228584563,3.195055981,0.740157574,1.118722196,,,,,,,0.598968698,0.419203051,0.745717209,0.686866468,0.982737769,0.914511599,0.850266137,0.642049136,0.684637378,0.456602882,0.606779224,0.546043159,1.276359934,1.06106234,,,0.918301631,1.133782887,0.537613552,1.09532298,1.418720355,0.741817606,,
NT #2,,,,1.142583087,0.415895725,,0.7952782,2.34032478,,1.240165274,,1.269014946,,,0.669829175,1.211163365,0.886603942,1.231716814,,1.175035539,1.277639811,1.354933086,1.36014435,1.309632377,1.597093827,1.391300968,1.329973927,1.449688349,3.109286946,0.930460234,1.334997091,1.533141132,1.255148038,1.361533847,1.30030248,1.420732473,1.593209153,1.358993396,1.305953174,1.094656341,1.241347744,1.209849015,,1.07804174,1.475607401,0.877255465,,,1.33923623,1.134140974,0.847740713,0.642072002,1.08327383,1.087472472,2.641277913,2.303772286,1.543793766,1.288595743,1.287296379,1.20250515,1.314988414,1.657987037,0.443939714,0.471933893,1.84841144,0.902314332,,,,,,,1.73183083,2.151958313,0.92132331,0.945829466,1.555019948,1.228535993,1.063285432,1.807782699,2.23278539,1.883706819,2.379718666,2.727663917,1.143631036,1.056819262,,,1.010257783,0.891644343,0.949761322,1.006481361,0.728212299,0.914465436,,
NT #2,,,,1.058056679,1.316310154,,0.61939784,3.074025656,,0.706235585,,0.989495683,,,1.323982992,1.201256268,1.003867562,1.173484119,0.315456095,1.319833333,1.439897316,1.476511334,1.36091811,1.501244724,1.555455785,1.50668881,1.105221694,1.233554183,1.208856782,2.405339324,1.395202384,1.543634842,1.319064474,1.344736236,1.299608674,1.218396415,1.345884649,1.646322629,1.116027704,1.211635706,1.271118349,1.151567758,,0.623005519,1.222943114,0.516846974,,,1.151722891,1.43664799,0.995326028,0.554682997,1.112045382,1.226407018,1.258845289,2.890870763,1.636007265,1.717306365,1.280393645,1.288306098,1.403947273,1.261217637,0.596236017,0.381816812,1.547014715,1.832058841,,,,2.211513363,,,3.40787159,2.042101899,1.208304697,1.086509173,1.333864838,1.234447439,2.605100589,2.762726406,2.289889144,1.873222858,2.701094847,2.687416163,1.202239946,1.165890256,,,0.949248159,1.006739193,1.130584717,1.203516747,0.984241833,0.876182931,,
NT #2,,,,1.203616893,1.82665829,,0.252447883,2.80366603,,1.141749518,,1.294225663,,,0.989731118,1.224925833,0.990953466,1.290039673,1.250944057,1.389116533,1.364203521,1.465036895,1.389425248,1.612541249,1.560386892,1.614539921,1.339101074,1.123026782,1.097010726,2.306606287,1.434878465,1.649414932,1.287405317,1.27704834,1.165479252,1.406890708,1.716131134,1.66368197,1.273327971,1.173612459,1.447110054,1.337739533,1.889088725,0.66185502,1.127768204,1.083714821,,,1.436247563,1.470560011,0.696155941,0.838780863,1.223226426,1.133212317,1.70274764,2.380537758,1.838762985,1.497263906,1.478876699,1.511317128,1.30874827,1.856511963,0.353083716,0.125826845,1.873097997,2.28711564,,,,,,,2.775555791,2.447214674,1.390271941,1.030710173,1.477770947,1.43873492,2.194123192,1.806550485,2.890361382,2.388892899,3.056511201,3.286958194,1.32714433,1.187082865,,,1.219437867,0.830923861,1.471719868,0.960409678,1.306671254,1.091494654,,
NT #3,,,,1.001320334,,,1.724282926,,,,,0.638727164,,,,0.859789247,1.021151177,0.981399141,,0.821614275,0.797861019,0.865303597,0.762525396,0.670509256,0.714080421,0.678443845,1.000450041,0.910333728,0.803601352,1.031537529,0.956139686,0.93190587,0.867736955,0.882848279,0.808647657,0.469279014,0.616781439,0.533998016,0.702298145,0.866029268,0.960427855,0.831455867,,,,,,,0.69663733,0.781117148,0.821012829,0.920425307,0.989256565,0.842839237,0.718917535,0.273266124,0.691299428,0.659536371,0.832676391,0.929864518,1.145688541,1.095246303,1.829222978,0.809528863,1.00898883,0.422629259,,,0.452179045,,,,0.439468546,0.513433366,1.369405318,0.961228106,0.758733529,0.719047581,1.156755792,0.83110928,0.809708399,1.194530069,0.692041972,0.812755592,0.700430629,0.738655912,,1.354670221,1.257035173,0.830474642,1.480984651,1.013509935,0.704145124,0.904793732,,
NT #3,,,,0.785218795,,,1.424895803,,,,,0.868394957,,,,0.895091826,0.979209377,0.873680168,,0.957834458,0.812413728,0.858370437,0.836810294,0.79431605,0.760913823,0.739607965,1.12995084,0.989439805,0.405986606,0.480965788,1.087156578,0.84393197,0.823636054,0.792306007,0.47048287,0.450510255,0.735156864,0.63173697,1.023932499,0.852862508,0.96001309,0.846493211,,0.57131622,,,,,0.95194487,0.793580283,0.65485694,0.980905197,0.979596541,0.969072168,0.7218752,0.292784303,0.839215601,0.905434373,0.913757142,1.052350503,1.243056363,1.192264077,1.047715342,0.95428521,0.951234714,0.405563275,,,,,,,1.399393439,0.257457332,0.817120245,0.934015287,0.829671701,0.760246001,0.755042252,0.153073874,1.057570923,1.132165476,0.688517203,0.625469913,0.860737251,0.822543909,1.316657424,0.371957295,1.103192737,1.090289913,0.934221569,1.330220081,0.794775306,0.897248498,,
NT #3,,,,0.849161105,,,2.033687114,,,,,0.92458575,,,,0.809432949,0.848204973,0.889842938,,0.810315265,0.757328362,0.78547095,0.756529493,0.630578947,0.674429515,0.670452794,0.809648714,0.760526213,0.689076594,0.421198435,0.86141644,0.923099573,0.775654187,0.778011783,0.507598526,0.599420619,0.490139664,0.586164143,0.710130398,0.761311879,0.860789351,0.798441331,,0.423814344,,,,,0.70900273,0.777471953,0.821780099,0.86953818,0.745068383,0.920198039,0.242533527,0.122720818,0.650783541,0.8053641,0.918727971,0.773536769,1.139357467,1.212565975,0.900940896,1.160854524,0.732809558,1.056184191,,,,,,,0.656724766,0.638813836,1.309831033,1.121802778,0.658143162,0.681881906,1.297484735,0.997589637,0.510031315,0.737579005,0.574395342,0.49552624,0.510687554,0.724263419,0.647130183,2.329211291,0.788162953,0.783208781,0.975641776,0.722920994,0.727795218,0.939115319,,
NT #4,,,,1.674827899,,,1.820053183,1.142892453,,1.210658323,,1.655507815,,0.964326526,0.567675246,1.428397552,1.432330014,1.473401676,2.058827397,1.335355431,1.373651474,1.46761808,1.424818742,1.545912529,1.668321506,1.681352766,1.662111872,1.632853398,0.848184221,0.668115029,1.292978571,1.432498788,1.489844434,1.406499708,1.963572529,1.895398077,1.327807253,1.463100797,1.430261221,1.626409692,1.543695103,1.616869979,1.309275099,2.037115681,1.459804811,1.615943743,,,1.67425637,1.467878069,1.654794272,1.417824523,1.478703901,1.503780826,2.014402849,2.201594689,1.58102165,1.393716891,1.517060342,1.515634462,1.567612051,1.472493844,3.245391342,3.153535982,1.321503877,1.258761837,,,,,,,1.607442081,1.850851495,1.92360218,1.346479567,1.525662605,1.494270708,1.648868654,1.656398443,0.983498839,1.064311777,4.176033626,4.282753668,1.509714345,1.481591903,1.52098856,0.657467141,1.221269503,1.330483356,1.781749481,1.851481283,1.707615983,1.409437666,,
